uniprotkb:Q9Y587,uniprotkb:O00189
uniprotkb:O00472,uniprotkb:Q8N5P1
reactome:R-HSA-139933,reactome:R-HSA-114514
reactome:R-HSA-382579,ChEBI:52966
uniprotkb:P07195,uniprotkb:P07195
reactome:R-HSA-2564799,uniprotkb:Q9Y5Y2
reactome:R-HSA-420764,uniprotkb:Q9NPD8
uniprotkb:P42229,reactome:R-HSA-893534
uniprotkb:Q92562,uniprotkb:Q9Y2I7
reactome:R-HSA-198360,uniprotkb:Q05513
uniprotkb:Q9NZQ7,uniprotkb:P06239
reactome:R-HSA-194447,reactome:R-HSA-432783
reactome:R-HSA-68653,reactome:R-HSA-2888958
reactome:R-HSA-5218798,uniprotkb:P06241
uniprotkb:P40763,uniprotkb:P42224
reactome:R-HSA-2685674,reactome:R-HSA-2685697
reactome:R-HSA-2134514,reactome:R-HSA-170840
uniprotkb:P05981,uniprotkb:P05981
uniprotkb:P10070,reactome:R-HSA-5617393
uniprotkb:Q717R9,uniprotkb:A6NIH7
reactome:R-HSA-173604,uniprotkb:P05155
reactome:R-HSA-265523,ChEBI:17855
uniprotkb:P01031,uniprotkb:Q9P296
uniprotkb:O14782,uniprotkb:Q9Y496
reactome:R-HSA-74693,reactome:R-HSA-2685687
ChEBI:18248,uniprotkb:Q96BT7
reactome:R-HIV-173654,reactome:R-HSA-173782
uniprotkb:Q15078,uniprotkb:Q00535
uniprotkb:P31749,uniprotkb:P55211
ChEBI:18420,uniprotkb:P54840
reactome:R-HSA-2011955,reactome:R-HSA-2011955
reactome:R-HSA-3928369,uniprotkb:O60229
uniprotkb:P04637,uniprotkb:P04637
uniprotkb:Q5T0N5,uniprotkb:Q5T0N5
reactome:R-HSA-216001,reactome:R-HSA-1474201
uniprotkb:Q9NZQ3,ChEBI:18348
reactome:R-HSA-205123,uniprotkb:Q9UKN5
ChEBI:29105,uniprotkb:P35218
uniprotkb:Q16831,uniprotkb:Q16831
uniprotkb:Q9BY67,uniprotkb:Q9NQS3
reactome:R-HSA-2424460,uniprotkb:P15498
reactome:R-HSA-6798077,uniprotkb:Q8WUF5
uniprotkb:Q9Y376,uniprotkb:Q15831
uniprotkb:Q9NPA3,uniprotkb:Q92748
uniprotkb:P29353-2,reactome:R-HSA-190425
reactome:R-HSA-174729,uniprotkb:P02647
uniprotkb:O75173,uniprotkb:P13608
reactome:R-HSA-1911528,uniprotkb:P78504
uniprotkb:P46531,uniprotkb:P46531
uniprotkb:P29350,reactome:R-HSA-203494
reactome:R-HSA-156927,reactome:R-HSA-156916
uniprotkb:Q13882,uniprotkb:Q96P48
ChEBI:15351,uniprotkb:P62805
reactome:R-HSA-912313,reactome:R-HSA-912528
uniprotkb:Q9BYG4,uniprotkb:Q8TEW0
reactome:R-HSA-877257,uniprotkb:Q96RD7
uniprotkb:Q9H7Z7,ChEBI:15554
uniprotkb:Q9NYG8,uniprotkb:Q9NYG8
reactome:R-HSA-5651993,uniprotkb:Q149N8
uniprotkb:P52333,uniprotkb:Q14289
uniprotkb:Q9Y4K3,uniprotkb:Q9Y4K3
reactome:R-HSA-437110,uniprotkb:P06241
reactome:R-CBO-5250524,ChEBI:28648
reactome:R-HSA-8944512,reactome:R-HSA-8945698
reactome:R-HSA-1248702,uniprotkb:P04626
reactome:R-NUL-2161142,reactome:R-HSA-170840
uniprotkb:O96017,reactome:R-HSA-349474
uniprotkb:P21333,reactome:R-HSA-201877
reactome:R-HSA-5333682,uniprotkb:Q9Y5Y7
reactome:R-HSA-1606688,uniprotkb:Q9HCE1
uniprotkb:Q01860,reactome:R-HSA-2888961
uniprotkb:P0C0L4,uniprotkb:P0C0L4
reactome:R-HSA-5682631,uniprotkb:Q8N2W9
reactome:R-HSA-389920,uniprotkb:P62993-1
uniprotkb:P25116,reactome:R-HSA-397803
reactome:R-HSA-5672691,uniprotkb:P28482
reactome:R-HSA-201447,uniprotkb:O15105
uniprotkb:P24394,uniprotkb:O60674
uniprotkb:P05161,uniprotkb:O75688
reactome:R-HSA-1227668,reactome:R-HSA-8869524
uniprotkb:Q9H0W8,uniprotkb:Q8ND04
reactome:R-HSA-2213179,reactome:R-HSA-2213213
uniprotkb:Q08AM6,uniprotkb:Q92562
reactome:R-HSA-8858031,uniprotkb:Q8WWV6
ChEBI:29035|ChEBI:29035,uniprotkb:Q3LIE5
uniprotkb:P12931-1,reactome:R-HSA-3928540
uniprotkb:P15498,uniprotkb:P42680
uniprotkb:Q13936,uniprotkb:Q08289
reactome:R-MMU-8943858,uniprotkb:O43524
uniprotkb:O14980,reactome:R-HSA-2167923
reactome:R-HSA-8982321,reactome:R-HSA-8982304
uniprotkb:Q14674,uniprotkb:Q14674
uniprotkb:P30926,uniprotkb:P30532
reactome:R-HSA-8987071,uniprotkb:Q6UXL0
reactome:R-HSA-5654201,uniprotkb:Q06124
reactome:R-HSA-173671,uniprotkb:P13671
